,Proizvod,Kolicina,Cijena_prije,Cijena_poslije,Porijeklo,Kategorija,Promjena_cijene,Postotak_promjene
0,krumpir mladi,1 kg,9.99,9.99,strano,povrce,0.0,0.0
1,krumpir stari,1 kg,4.99,4.49,strano,povrce,-0.5,-10.020040080160314
2,rajcica,1 kg,17.99,17.99,strano,povrce,0.0,0.0
3,luk ,1 kg,5.99,6.99,strano,povrce,1.0,16.694490818030047
4,kelj,1 kg,7.99,9.99,strano,povrce,2.0,25.031289111389228
5,piletina b-zb,1 kg,29.99,26.99,domace,meso,-3.0,-10.00333444481494
6,mijesano meso Pik,1 kg,27.99,26.49,domace,meso,-1.5,-5.359056806002144
7,sol Pag,1 kg,4.99,4.69,domace,ostalo,-0.2999999999999998,-6.012024048096194
8,ulje Zvijezda,1 L,10.99,10.99,domace,ostalo,0.0,0.0
9,ulje S-budget,1 L,7.99,7.99,strano,ostalo,0.0,0.0
10,brasno Podravka,1 kg,5.99,5.99,domace,zitarice,0.0,0.0
11,brasno S-budget,1 kg,4.29,4.49,strano,zitarice,0.20000000000000018,4.662004662004662
12,secer Premijer,1 kg,5.49,5.49,domace,ostalo,0.0,0.0
13,fusili Tjesteninka,1 kg,9.99,9.99,domace,zitarice,0.0,0.0
14,spageti no.3 Barilla,0.5 kg,8.49,8.99,strano,zitarice,0.5,5.889281507656065
15,riza Safram,1 kg,13.67,13.67,domace,zitarice,0.0,0.0
16,riza S-budget,1 kg,9.99,9.99,strano,zitarice,0.0,0.0
17,kruh polubijeli,0.5 kg,5.49,5.49,domace,zitarice,0.0,0.0
18,mlijeko 3.2% Dukat,1 L,5.99,7.29,domace,mlijeko,1.2999999999999998,21.70283806343906
19,mlijeko 2.8% Meggle,1 L,6.79,6.99,strano,mlijeko,0.20000000000000018,2.9455081001472934
20,jaja L S-budget,10 kom.,14.99,13.49,strano,meso,-1.5,-10.006671114076056
21,majoneza Zvijezda,0.165 kg,11.99,11.99,domace,ostalo,0.0,0.0
